host_response_time,host_response_rate,host_is_superhost,latitude,longitude,room_type,accommodates,bathrooms,bedrooms,price,review_scores_rating,distance_from_syntagma
within an hour,100%,t,37.98074,23.74655,Entire home/apt,4,1.0,1.0,81.0,4.85,1.1756530656198576
a few days or more,0%,f,37.9859,23.73359,Entire home/apt,2,1.0,0.0,42.0,4.59,1.1621130255203935
,,f,37.980228,23.723442,Entire home/apt,5,1.0,1.0,140.0,4.63,1.1335695710046447
within an hour,100%,f,38.00177,23.73015,Entire home/apt,4,1.5,1.0,45.0,4.74,2.9506023184655445
,,f,37.99269,23.71638,Entire home/apt,4,1.0,1.0,52.0,4.91,2.5076172432411132
within a few hours,100%,t,37.96283,23.72382,Entire home/apt,3,1.0,1.0,33.0,4.75,1.7111961304267425
,,t,37.9995,23.7212,Entire home/apt,4,1.0,1.0,36.0,4.54,2.9263240682392064
within an hour,100%,t,37.99649,23.73388,Entire home/apt,2,1.0,2.0,66.0,4.64,2.3356927616991503
within an hour,100%,f,37.96369,23.73323,Entire home/apt,4,1.0,1.0,54.0,4.73,1.3213463663407081
,,f,37.9801,23.73691,Entire home/apt,2,1.0,1.0,50.0,4.86,0.5409866087816269
within an hour,100%,t,37.96538,23.73225,Entire home/apt,3,1.0,2.0,128.0,4.96,1.1490187370333582
within an hour,100%,,37.96769,23.73286,Entire home/apt,4,1.0,1.0,69.0,4.85,0.8866517277647304
within an hour,100%,t,37.96919,23.71106,Entire home/apt,2,1.0,1.0,37.0,4.77,2.2043610097141406
within an hour,100%,t,37.9902,23.71115,Entire home/apt,2,1.0,1.0,33.0,4.73,2.6466135035025538
within an hour,100%,,37.97113,23.73001,Entire home/apt,4,1.5,1.0,178.0,4.99,0.6479543630599852
within an hour,100%,,37.97113,23.73001,Entire home/apt,2,1.0,0.0,157.0,4.99,0.6479543630599852
within an hour,100%,t,37.96485,23.72641,Entire home/apt,4,1.0,1.0,51.0,4.84,1.3986617011190432
within an hour,90%,t,37.9642,23.72017,Entire home/apt,6,1.0,2.0,102.0,4.93,1.8016751229477683
within an hour,91%,f,37.96364,23.72181,Private room,2,1.0,1.0,99.0,4.8,1.7480902299563774
within an hour,100%,t,37.97739,23.7255,Entire home/apt,5,1.0,2.0,135.0,4.93,0.8502991962659115
,,f,37.97881,23.70788,Entire home/apt,3,1.0,1.0,95.0,4.88,2.396734202726369
within an hour,100%,t,37.97606,23.72784,Entire home/apt,4,1.0,1.0,100.0,4.99,0.6219462453480888
,,f,37.97066,23.74547,Entire home/apt,5,2.5,2.0,92.0,4.83,1.0714791117003832
within a few hours,75%,t,37.97471,23.74889,Entire home/apt,4,1.0,2.0,146.0,4.95,1.2294013217137896
within an hour,100%,t,37.97979,23.71735,Entire home/apt,2,1.0,1.0,119.0,5.0,1.6105164559171696
within an hour,100%,t,37.97557,23.71883,Entire home/apt,4,1.5,2.0,117.0,4.9,1.4085894888351977
,,f,37.98221,23.71304,Entire home/apt,6,1.0,2.0,66.0,4.66,2.0561362642508287
,,f,37.98222,23.71304,Entire home/apt,4,1.0,1.0,57.0,4.57,2.0565399009092507
within an hour,100%,t,37.99879,23.73995,Entire home/apt,3,1.0,1.0,40.0,4.84,2.6272744875048253
within an hour,100%,f,37.972595,23.730436,Entire home/apt,2,1.0,1.0,125.0,4.81,0.5073932419446587
within a few hours,100%,t,37.98346149722733,23.72307503101314,Entire home/apt,2,1.0,1.0,77.0,4.94,1.3630471918307905
within an hour,100%,t,37.98119,23.75973,Entire home/apt,3,1.0,1.0,57.0,4.85,2.2664203324112115
within an hour,100%,f,37.96901,23.7245,Entire home/apt,5,2.0,2.0,185.0,4.6,1.1626866611244204
within an hour,90%,,37.9630126953125,23.72627830505371,Entire home/apt,2,1.0,1.0,41.0,4.76,1.5808843270060273
within a day,100%,f,37.97989,23.7451,Entire home/apt,2,1.0,0.0,115.0,4.7,1.0186096963322602
within an hour,100%,t,38.00961,23.73978,Entire home/apt,6,1.0,2.0,63.0,4.68,3.816891044178372
within an hour,100%,t,38.00666,23.745052,Entire home/apt,4,1.5,1.0,35.0,4.77,3.577227945485653
within an hour,100%,t,37.96941,23.72981,Entire home/apt,4,1.0,1.0,85.0,4.91,0.8109465306251938
within an hour,100%,t,37.99701,23.73925,Entire home/apt,2,1.0,1.0,34.0,4.74,2.421994580743773
within an hour,100%,t,37.9528,23.7208,Entire home/apt,4,2.0,2.0,96.0,4.95,2.810536024011031
within an hour,100%,t,37.97072,23.71463,Private room,2,1.0,1.0,49.0,4.97,1.8545617299866186
within an hour,100%,t,37.98446,23.74209,Entire home/apt,4,1.0,1.0,90.0,4.99,1.1788780221529662
within an hour,100%,t,37.968,23.70613,Entire home/apt,2,1.0,1.0,48.0,4.84,2.6561936389646412
within an hour,91%,f,37.96364,23.72181,Private room,2,1.0,1.0,92.0,4.82,1.7480902299563774
within a few hours,100%,t,37.97851,23.73874,Entire home/apt,2,1.0,1.0,60.0,4.78,0.47466408291184575
within an hour,100%,t,37.96387,23.72324,Entire home/apt,6,1.0,3.0,65.0,4.84,1.648349204177124
a few days or more,0%,f,37.96387,23.72069,Entire home/apt,4,1.0,2.0,90.0,4.67,1.7955399597094672
within an hour,100%,t,37.97775,23.72414,Entire home/apt,6,1.0,2.0,134.0,4.83,0.9757422567934135
,,f,37.98203,23.71869,Entire home/apt,3,1.5,1.0,70.0,4.91,1.5955663324696623
within an hour,100%,f,37.98713,23.77038,Entire home/apt,2,1.0,1.0,64.0,4.95,3.367829297764997
,,t,37.99895,23.73495,Entire home/apt,2,1.0,1.0,37.0,4.57,2.607524711676386
within an hour,100%,t,37.9734,23.71527,Entire home/apt,4,1.0,2.0,79.0,4.93,1.7364072349917807
within an hour,100%,t,37.97987,23.73904,Entire home/apt,2,1.0,1.0,122.0,4.86,0.6064600118091985
within an hour,100%,t,37.99550247192383,23.735824584960938,Entire home/apt,4,1.0,2.0,72.0,4.9,2.2256489583351318
within an hour,100%,,37.97811,23.73127,Entire home/apt,4,1.0,1.0,118.0,4.98,0.4306505827485528
within an hour,100%,t,37.97857,23.73031,Entire home/apt,2,1.0,0.0,119.0,4.81,0.5276261966594981
within an hour,100%,t,37.96816,23.75098,Entire home/apt,4,1.0,2.0,65.0,4.85,1.6287630475250683
within an hour,100%,f,37.97007,23.72586,Entire home/apt,6,1.0,1.0,90.0,4.88,0.9962251396769457
within an hour,100%,t,37.96705,23.71338,Entire home/apt,7,2.0,2.0,111.0,4.96,2.107433493979389
